Test Planner and Tracker,Unnamed: 1,Unnamed: 2,Team Number In Black,Team Members In Black,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
13,UC-05,Slicing service stopped,1. Stop slicing service container\n2. Try to slice model\n3. Check error handling,Error message: 'Slicing service is temporarily unavailable. Please try again in a few minutes',Pass,,Pass,
14,UC-06,Slicing completed (UC-05),1. Wait for slicing to complete\n2. Check cost calculation panel\n3. Verify formula applied,Cost calculated using formula: (material_volume × density × cost_per_gram × 1.25 × 1.25) + (print_time × ₹500/hour),Pass,,Pass,
15,UC-06,Sliced job with known values,"1. Use test STL: 50g material, 2 hours print time\n2. Material rate: ₹0.03/g\n3. Check cost breakdown",Material cost = 50 × 0.03 × 1.25 × 1.25 = ₹2.34; Machine cost = 2 × 500 = ₹1000; Total = ₹1002.34,Pass,,Pass,
16,UC-07,Cost calculated (UC-06),1. Navigate to cost estimate panel\n2. Verify all components displayed,"Cost breakdown shows: Material cost, Support cost, Machine time cost, Waste overhead (25%), Failure overhead (25%), Total in INR",Pass,,Pass,
17,UC-08,Slicing failed with error,1. Upload problematic STL\n2. Trigger slicing\n3. Wait for failure\n4. Check error display,"Clear error message with actionable suggestions displayed, problem areas highlighted in 3D viewer",Pass,,Pass,
18,UC-09,Admin authenticated,1. Login as admin\n2. Navigate to failure logs dashboard\n3. Check log entries\n4. Apply filters,"All slicing failures displayed with job ID, timestamp, error message, affected user. Filters work correctly.",Fail,R1 failure log list renders but filter by failure type does not update the table correctly.,Pass,Filter logic fixed in R2; table updates correctly when filters are applied.
19,UC-11,Admin authenticated,1. Navigate to admin panel\n2. Click 'Material Configuration'\n3. Edit PLA cost from ₹0.03 to ₹0.035\n4. Click Save,"Material rate updated successfully, changes apply immediately to new jobs, audit log created",Pass,,Pass,
20,UC-11,Admin panel open,"1. Click 'Add New Material'\n2. Enter name: PETG, density: 1.27, cost: ₹0.04\n3. Save","New material added successfully, appears in slicing parameter dropdown immediately",Pass,,Pass,
21,UC-11,Admin panel open,1. Enter invalid cost: -5\n2. Click Save,Validation error: 'Cost and density must be positive numbers',Pass,,Pass,
22,UC-12,Admin authenticated,1. Navigate to admin config\n2. Update machine time rate from ₹500 to ₹600\n3. Save,"Rate updated successfully, applies to all new cost calculations, historical jobs unchanged",Pass,,Pass,
23,UC-13,Admin authenticated,1. Navigate to admin config\n2. Update waste factor from 1.25 to 1.30\n3. Update failure factor from 1.25 to 1.20\n4. Save,"Factors updated successfully, new cost calculations use updated multipliers",Pass,,Pass,
24,UC-14,User uploads 250×250×250mm model,1. Upload oversized STL\n2. Check validation\n3. View error message,Error displayed: 'Model exceeds printer volume (200×200×200mm). Scale to 80% or rotate to fit',Pass,,Pass,
25,UC-15,User has uploaded 3 jobs,1. Navigate to job history\n2. Check displayed information,"All 3 jobs shown with: Job ID, filename, timestamp, status, cost estimate, G-code download link (if available)",Pass,,Pass,
26,Integration,Backend and database running,"1. Call POST /api/auth/register with valid username, password, email\n2. Confirm response status code\n3. Extract access token from response\n4. Call GET /api/auth/me with token\n5. Verify returned user fields","Registration returns 201 Created; /auth/me returns 200 OK with correct user id, username, role and email",Pass,,Pass,
27,Performance,Backend running,1. Upload 5MB STL file\n2. Measure upload time on 10 Mbps connection,Upload completes in under 30 seconds,Pass,,Pass,
28,Performance,Slicing service ready,1. Slice 8MB STL with standard parameters\n2. Measure time from request to completion,Slicing completes within 2 minutes,Pass,,Pass,
29,Performance,API endpoints deployed,1. Send 100 concurrent API requests to /health or similar lightweight endpoint\n2. Measure response times,95% of requests complete within 500ms under normal load,Fail,R1 load test shows ~90% of requests under 500ms; performance tuning still pending.,Pass,Optimisations in R2 (DB pooling and caching) bring 95% of responses under 500ms.
30,Security,Authentication enabled,1. Try accessing /api/upload without token\n2. Check response,"401 Unauthorized error returned, no access granted",Pass,,Pass,
